id,generation,evaluation_score,this_image_path,image_strength,seed,steps,prompt_length,cfg_scale,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50
1,1,50,D:\downloads\UserFiles\開発\SD_IGA_system\generated_images\generated_image_1.jpg,0.39,12,3,14,3.9,0,0,1,0,0,0,0,3,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,3,0,1,0,1,3,1,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3
2,1,50,D:\downloads\UserFiles\開発\SD_IGA_system\generated_images\generated_image_2.jpg,0.32,27,1,10,4.8,0,0,0,0,0,2,3,3,3,0,1,1,2,3,0,0,2,0,1,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
3,1,50,D:\downloads\UserFiles\開発\SD_IGA_system\generated_images\generated_image_3.jpg,0.34,56,2,11,3.6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,1,0,1,0,3,0,3,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0
4,1,50,D:\downloads\UserFiles\開発\SD_IGA_system\generated_images\generated_image_4.jpg,0.56,40,3,12,7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,3,2,0,0,0,0,0,0,0,3,0,1,2,2,3,0,3,1,0,0
5,1,50,D:\downloads\UserFiles\開発\SD_IGA_system\generated_images\generated_image_5.jpg,0.67,47,2,11,2.2,0,1,0,0,0,3,0,0,0,0,0,1,3,3,0,2,0,0,0,0,0,0,2,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,0,2
6,1,50,D:\downloads\UserFiles\開発\SD_IGA_system\generated_images\generated_image_6.jpg,0.46,77,3,12,7.9,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,1,0,0,2,0,0,0,1,0,2,0,3,0,0,0,2,2,0,0
7,1,50,D:\downloads\UserFiles\開発\SD_IGA_system\generated_images\generated_image_7.jpg,0.69,63,1,10,6.2,2,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,3,0,0,0,3,0,0,1,0,0,1,0,0,2,1,0,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
8,1,50,D:\downloads\UserFiles\開発\SD_IGA_system\generated_images\generated_image_8.jpg,0.44,38,2,12,2.2,1,0,0,1,2,0,0,2,1,0,2,3,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0
